Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value
Rhein,Site2,Without_water,0.030995559
Rhein,Site2,Without_water,0.06572004
Rhein,Site3d,With_water,0.000130499
Rhein,Site3d,With_water,0.024549708
Rhein,Site3d,With_water,0.018144475
Rhein,Site3d,With_water,0.026091246
Rhein,Site3d,Without_water,0
Rhein,Site3d,Without_water,0.05919779
Rhein,Site3d,Without_water,0.042909853
Rhein,Site3d,Without_water,0.005131104
Rhein,Site3m,With_water,0.000184553
Rhein,Site3m,With_water,0.072414055
Rhein,Site3m,With_water,0.042081922
Rhein,Site3m,With_water,0.042038396
Rhein,Site3m,Without_water,0.00022603
Rhein,Site3m,Without_water,0.059554875
Rhein,Site3m,Without_water,0.001587585
Rhein,Site3m,Without_water,0.001987696
Theaflavin_Digallate,Site1,With_water,0
Theaflavin_Digallate,Site1,With_water,0.26380998
Theaflavin_Digallate,Site1,With_water,0.50176495
Theaflavin_Digallate,Site1,With_water,0.50060874
Theaflavin_Digallate,Site1,Without_water,0
Theaflavin_Digallate,Site1,Without_water,0.41182983
Theaflavin_Digallate,Site1,Without_water,0.5583663
Theaflavin_Digallate,Site1,Without_water,0.24899943
Theaflavin_Digallate,Site2,With_water,0
Theaflavin_Digallate,Site2,With_water,0.18450691
Theaflavin_Digallate,Site2,With_water,0.5908353
Theaflavin_Digallate,Site2,With_water,0.588349
Theaflavin_Digallate,Site2,Without_water,0
Theaflavin_Digallate,Site2,Without_water,0.14909017
Theaflavin_Digallate,Site2,Without_water,0.3608835
Theaflavin_Digallate,Site2,Without_water,0.33490753
Theaflavin_Digallate,Site3d,With_water,0
Theaflavin_Digallate,Site3d,With_water,0.21689853
Theaflavin_Digallate,Site3d,With_water,0.02120501
Theaflavin_Digallate,Site3d,With_water,0.48760596
Theaflavin_Digallate,Site3d,Without_water,0
Theaflavin_Digallate,Site3d,Without_water,0.1859129
Theaflavin_Digallate,Site3d,Without_water,0.50913006
Theaflavin_Digallate,Site3d,Without_water,0.5129296
Theaflavin_Digallate,Site3m,With_water,0
Theaflavin_Digallate,Site3m,With_water,0.058713555
Theaflavin_Digallate,Site3m,With_water,0.3539917
Theaflavin_Digallate,Site3m,With_water,0.30947706
Theaflavin_Digallate,Site3m,Without_water,0
Theaflavin_Digallate,Site3m,Without_water,0.33868626
Theaflavin_Digallate,Site3m,Without_water,0.27370992
Theaflavin_Digallate,Site3m,Without_water,0.2196989
Baicalein,Site1,With_Water,0.000178295
Baicalein,Site1,With_Water,0.012847149
Baicalein,Site1,With_Water,0.035693772
Baicalein,Site1,With_Water,0.040767245
Baicalein,Site1,Without_Water,0.000178295
Baicalein,Site1,Without_Water,0.17033967
Baicalein,Site1,Without_Water,0.03261582
Baicalein,Site1,Without_Water,0.17526944
Baicalein,Site2,With_Water,0.000178295
Baicalein,Site2,With_Water,0.043636065
Baicalein,Site2,With_Water,0.03978938
Baicalein,Site2,With_Water,0.17368853
Baicalein,Site2,Without_Water,0
Baicalein,Site2,Without_Water,0.028948119
Baicalein,Site2,Without_Water,0.17232995
Baicalein,Site2,Without_Water,0.17499708
Baicalein,Site3d,With_Water,0
Baicalein,Site3d,With_Water,0.11179203
Baicalein,Site3d,With_Water,0.006661655
Baicalein,Site3d,With_Water,0.17399803
Baicalein,Site3d,Without_Water,0
Baicalein,Site3d,Without_Water,0.10351455
Baicalein,Site3d,Without_Water,0.1713339
Baicalein,Site3d,Without_Water,0.17161754
Baicalein,Site3m,With_Water,0
Baicalein,Site3m,With_Water,0.063500844
Baicalein,Site3m,With_Water,0.004181391
Baicalein,Site3m,With_Water,0.16648906
Baicalein,Site3m,Without_Water,0
Baicalein,Site3m,Without_Water,0.17374343
Baicalein,Site3m,Without_Water,0.05768997
Baicalein,Site3m,Without_Water,0.17539571
Baicalin,Site1,With_Water,0.000197295
Baicalin,Site1,With_Water,0.05497112
Baicalin,Site1,With_Water,0.18360583
Baicalin,Site1,With_Water,0.16847019
Baicalin,Site1,Without_Water,0
Baicalin,Site1,Without_Water,0.03593269
Baicalin,Site1,Without_Water,0.16557188
Baicalin,Site1,Without_Water,0.12520567
Baicalin,Site2,With_Water,0
Baicalin,Site2,With_Water,0.009060565
Baicalin,Site2,With_Water,0.043070994
Baicalin,Site2,With_Water,0.22024365
Baicalin,Site2,Without_Water,0.000197295
Baicalin,Site2,Without_Water,0.24987268
Baicalin,Site2,Without_Water,0.16420254
Baicalin,Site2,Without_Water,0.13723241
